id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Winter Cathedral,Aria Hollow,classical,peaceful,0.25,66,0.55,0.20,0.95
12,Concrete Skyline,MC Torque,hip hop,energetic,0.85,95,0.70,0.88,0.08
13,Dusty Highway,Wheeler Bend,country,nostalgic,0.45,100,0.58,0.50,0.65
14,Sunny Shoreline,Tidal Roots,reggae,playful,0.55,84,0.80,0.72,0.40
15,Iron Riot,Voltage Fang,metal,angry,0.97,168,0.25,0.45,0.03
16,Rainy Pawnshop,Delta Hollow,blues,melancholic,0.33,72,0.30,0.40,0.68
17,Starlight Anthem,Nova Bloom,k-pop,triumphant,0.90,128,0.88,0.90,0.10
18,Glass Horizon,Echo Vale,house,dreamy,0.68,124,0.60,0.80,0.12
19,Broken Curfew,Static Youth,punk,restless,0.88,158,0.45,0.55,0.06
20,Noche Caliente,Ritmo Sol,latin,romantic,0.72,102,0.82,0.85,0.30
